model,model_short,generation,mean,std,min,max,range
clip-vit-base-patch32,CLIP B/32,Contrastive,42.96296296296296,5.5924699520524035,37.77777777777778,48.888888888888886,11.111111111111107
clip-vit-base-patch16,CLIP B/16,Contrastive,38.51851851851852,3.394500514782102,35.55555555555556,42.22222222222222,6.666666666666664
clip-vit-large-patch14,CLIP L/14,Contrastive,35.55555555555555,6.666666666666666,28.888888888888886,42.22222222222222,13.333333333333336
siglip-base-patch16-512,SigLIP B,Contrastive,37.03703703703704,4.625924443258072,33.33333333333333,42.22222222222222,8.888888888888893
siglip-large-patch16-384,SigLIP L,Contrastive,32.59259259259259,4.625924443258073,28.888888888888886,37.77777777777778,8.888888888888893
siglip-so400m-patch14-384,SigLIP SO,Contrastive,39.25925925925926,3.3945005147821044,35.55555555555556,42.22222222222222,6.666666666666664
gemini-2.5-flash-preview-05-20,Gem2.5 Flash,Legacy LLM,43.93939393939394,1.3121597027036962,43.18181818181818,45.45454545454545,2.2727272727272734
gemini-2.5-pro-preview-05-06,Gem2.5 Pro,Legacy LLM,40.90909090909091,2.2727272727272725,38.63636363636363,43.18181818181818,4.545454545454547
gpt-4o-2024-08-06,GPT-4o,Legacy LLM,59.141414141414145,29.632867323870272,40.909090909090914,93.33333333333333,52.424242424242415
gpt-4o-mini-2024-07-18,GPT-4o Mini,Legacy LLM,86.66666666666667,3.849001794597506,82.22222222222221,88.88888888888889,6.666666666666671
gemini-3-flash-preview,Gem3 Flash,Next-Gen LLM,87.99663299663298,9.18863485187606,79.54545454545455,97.77777777777777,18.232323232323225
gemini-3.1-pro-preview,Gem3.1 Pro,Next-Gen LLM,97.03703703703702,5.132002392796672,91.11111111111111,100.0,8.888888888888886
gpt-5.2-2025-12-11,GPT-5.2,Next-Gen LLM,88.88888888888887,4.444444444444446,84.44444444444444,93.33333333333333,8.888888888888886
gpt-5-mini-2025-08-07,GPT-5 Mini,Next-Gen LLM,92.5925925925926,1.2830005981991648,91.11111111111111,93.33333333333333,2.2222222222222143
